prediction	reference
de romtlike yntegraasje is hjir minder goed slagge	De romtlike yntegraasje is hjir minder goed slagge.
it is dêr yn dy húshâlding altyd san tobberij	It is dêr yn dy húshâlding altyd sa'n tobberij.
wy moatte der even mei inoar de skouders ûnder sette	We moatte der even mei-inoar de skouders ûnder sette.
in loads fan it bedriuw gie âldisjûn yn flammen op	In loads fan it bedriuw gie âldjiersjûn yn flammen op.
ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sûnder stroom sitten	Ofrûne sneontemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
hja hat de hiele wike al gjin koarts mear hân	Hja hat de hiele wike al gjin koarts mear hân.
hy rûn ek net hurder	Hy rûn ek net hurder.
by knipperje middeis heel even want it jeatlak slacht sûnder genede ta	Wy knipperje middeis heel even want de jetlag slacht sonder genede ta.
de keuken is it klopjendhart fan it hûs	De keuken is it klopjend hart fan it hûs.
sjaak seit har ta dat der in strik foar dwaan sil	Sjaak seit har ta dat er in strik foar dwaan sil.
ik moat hjir wei hear	Ik moat hjir wei, hear.
hy die mei oan in fersets aksje en foel ynn hannen fan de plysje	Hy die mei oan in fersetsaksje en foel yn hannen fan de polysje.
dy wolle de hotelkosten net betelje	Dy wolle de hotelkosten net betelje.
eins fodiowr	Men soe hjir in krupsje fan skypje.
bycdetsis de fan oantswuwing	Ik ha hjir de heale nacht op dy sitten te wachtsjen.
altings algerwezen ytsferbleans	De omset yn hierfersoarging is yn de earste seis moannen tanommen.
aeitoe de hurd	It bestriden fan de oerlêst falt ôf.
ylte tusken de twee binlyk werrensit alleft wet deelhaadtebúrt en hurd oer waak heel blykwarde	In pear jier ferlyn begûn er foar himsels as ûnôfhinklik bedriuwskundich adviseur.
waverwedsrydstaeben wiweha wat i wistk wa	Goemoarn allegear.
al wol bware silst tisli	Ik kin saterdei de hiele dei.
der binne wer ol beag	Dat hinget ôf fan de kontekst.
dat alle ale wol oed oepassimder	It programma wie fan twa oere oant kertier foar fjouweren.
ûngerlikerfoar helech al wer efminzen	De fiif bindelieders rûnen tsjin 'e lampe oan.
de eaufûnsasartikel ynuetarin sluvje weyn bydal buolveoar tehetig	Ik haw der net by west, want ik lis mei gryp op bêd.
py	Ofrûne saterdeitemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
de direktuer neamt de problemen in grutte finansjele strop foar syn bedriuw	De direkteur neamt de problemen in grutte finansjele strop foar syn bedriuw.
yn e fierte seagen wy it pears fan e heide	Yn 'e fierte seagen wy it pears fan 'e heide.
dêr is it lêste wurd noch net oer sein	Dêr is it lêste wurd noch net oer sein.
sy litte de bern foar wyld omrinne	Sy litte de bern foar wyld omrinne.
dyt binne de ûnderwerpen dyt oan bod komme sille	Dit binne de ûnderwerpen dy't oan bod komme sille.
de swiere apparaten moatte mei twa kranlen it fabryk yntakele wurde	De swiere apparaten moatte mei twa kranen it fabryk yn takele wurde.
wikselje nei it foarige finster	Wikselje nei it foarige finster.
der is in soad ôfwikseling yn de bewegingen dyt makke wurde nn	Der is in soad ôfwikseling yn de bewegingen dy't makke wurde.
justerjûn hawwe de bern in jûns skuier makke yn de tsjuster	Justerjûn hawwe de bern in jûnskuier makke yn it tsjuster.
ik ha der gjin wurden foar ik rin oer fan tankbruns k	Ik ha der gjin wurden foar, ik rin oer fan tankberens.
yn alle lagen fan de maatskipij koenen je wol kristenen oantreffe	Yn alle lagen fan de maatskippij koenen je wol kristenen oantreffe.
de measte bibliuteken organisearje spesjale middeis dêrt op foarlêzen wurdt	De measte biblioteken organisearje spesjale middeis dêr't op foarlêzen wurdt.
hy sil der ek wol net maier op wurden wêze	Hy sil der ek wol net moaier op wurden wêze.
de rjochtbank besjocht ûan der oare oft er foar it sikehús in drochstard yn sit	De rjochtbank besjocht ûnder oare oft der foar it sikehûs in trochstart yn sit.
hjir arbeidemen fan heit op soan yn it stiengat	Hjir arbeide men fan heit op soan yn it stiengat.
joust de finger dan nimme se de hiele hân	Joust in finger, dan nimme se de hiele hân.
hy brocht syn dochter nei de sneinskoalle	Hy brocht syn dochter nei de sneinsskoalle.
de webside wie in oere net berikken	De webside wie in oere net te berikken.
it is better dat men ris ôfrysd wurdt as dat men gjin ûnderfining opdocht	It is better dat men ris ôfwiisd wurdt as dat men gjin ûnderfining opdocht.
hy hien baan dronk amper of neat en hy betelle syn skulden ôf	Hy hie in baan, dronk amper of neat en hy betelle syn skulden ôf.
om fan de moarn healwei alven hinne wiene de measte filers oplost	Om fan 'e moarn healwei alven hinne wiene de measte files oplost.
kin ik hjir jûns as frou al lidde sonder problemen oer de strjitte nn	Kin ik hjir jûns as frou allinne sonder problemen oer de strjitte?
ik bin it grâld seêd	Ik bin it grôtsêd.
de gemeenteriedpraat komme de tongersdei oer de plannen	De gemeenteried praat kommende tongersdei oer de plannen.
sy lûke in spoar fan fernielingen troch it hiele doarp	Se lûke in spoar fan fernielingen troch it hiele doarp.
ik wit net hoe yngewikkeld it is	Ik wit net hoe yngewikkeld it is.
hy hat dy saak al efkes neamd mar der fierder gjin om tinken oan jûn	Hy hat dy saak al efkes neamd, mar der fierder gjin omtinken oan jûn.
bustasjon	Busstasjon.
yn e rein stiet en man it wie te hier op e foarholle plakt	Yn 'e rein stiet in man, it wiete hier op 'e foarholle plakt.
de rjochtbank fersjocht ûnderoare at der foar itit sikehûs in trochstard yn sit	De rjochtbank besjocht ûnder oare oft der foar it sikehûs in trochstart yn sit.
moan is úteinset mei it útdielen fan de nije unifoarms foar de polysje	Moandei is úteinset mei it útdielen fan de nije unifoarms foar de polysje.
de feestdagen steane foar de doar en it hearlik jûntsjes kommen	De feestdagen steane foar de doar en it hearlik jûntsje is kommen.
hoe let komt de sinne op yn parys	Hoe let komt de sinne op yn Parys?
de grûn wurdt de kommende wiken oanpast om de bysûndere natuer te behâlden	De grûn wurdt de kommende wiken oanpast om de bysûndere natoer te behâlden.
hy krige acht minuten foar tiid noch in reade kaart	Hy krige acht minuten foar tiid noch in reade kaart.
de minsken krije te hearren oft se ûntslein wurde of dat se trochwurkje kinne c	De minsken krije te hearren oft se ûntslein wurde of dat se trochwurkje kinne.
de brânwacht wie gau teplak om it fjoer te bestrieden	De brânwacht wie gau teplak om it fjoer te bestriden.
hy flokte faak en as er lilk wie dan wie it hús te lyts	Hy flokte faak en as er lilk wie, dan wie it hús te lyts.
spylje myn ôfspyllist op spottefij	Spylje myn ôfspyllist op Spotify.
hy rint at de skonken him yn e knoop sitte	Hy rint oft de skonken him yn 'e knoop sitte.
hy wennet yn de wenarke yn de feart	Hy wennet yn de wenarke yn de feart.
geart hat in protte freon	Geart hat in protte freonen.
wy moatte noch efkes geduld dwaan want wy kinne dêrrearst oare moanne terjochte	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.
hy hat it dizze simmer iepene besikerssintrum mei oprjochte	Hy hat it dizze simmer iepene besikerssintrum mei oprjochte.
