prediction	reference
dy kennis kinne hja goed brûke yn de klasse	Dy kennis kinne hja goed brûke yn 'e klasse.
syn ôfdilling wie der yn it uorket jier klear mein	Syn ôfdieling wie der yn in goed kertier klear mei.
in defoarte universiteit helle hja da bertsje dey bedriuws eteskippen	Oan dyselde universiteit helle hja de bachelor bedriuwswittenskippen.
hy wie yn foarm en waard topskoarder fan it toernoai nei njoggen en treffers	Hy wie yn foarm en waard topskoarder fan it toernoai mei njoggen treffers.
ylfksnien is de sneorn far bolske am i naise dail fer mieanswurle	Peaskesneon is de sneon foar Peaske en de lêste dei fan de lijenswike.
leasto fakomlikaasje nei wekker	Learsto foar kommunikaasjemeiwurker?
liddi wille jo fynn hast strak	Middei, binne jo frou Hofstra?
beljen oan de skoaltiard kin ik net útstean	Beljen ûnder skoaltiid kin ik net útstean.
de gemeenteryid praat kommende tongersdei oer de plannen	De gemeenteried praat kommende tongersdei oer de plannen.
werhelje	Werhelje.
de tiid dêrt de swier eitekene wurde kin is krije wike	De tiid dat beswier oantekene wurde kin is trije wike.
meitsje dat no a leinj marren	Meitsje dat in online barren.
ik haw noch in jier pi ús heit op de bjorkerij wurke	Ik ha noch in jier by ús heit op de buorkerij wurke.
ik fyn it wol spikich datst ek nek even sjongst	Ik fyn it wol spitich datst it net even sjongst.
in tratter set ûnder gedaken foarwe oent in doar is beklarre	In trekker sit ûnder de blauwe ferve en in doar is bekladde.
mendei is út einset mei it útdielen fan de nije unifoarm foar rebysje	Moandei is úteinset mei it útdielen fan de nije unifoarms foar de plysje.
ik doch dek hjar graach mar som sit ik mirs noadich	Ik doch dit wurk graach, mar soms wurd ik mismoedich.
beskigker hjir it flamjende relokt fande ljûnstane skikke	De skilder hie it flamjende read fan 'e jûnssinne skildere.
ik wie ka har moai in krepte dwaane skûni no er net	It like har moai om krekt te dwaan as koene wy inoar net.
wêr moatt e wraad dat	Dêr hâldt de wrâld op.
dat he k buorfrou sjin dyn mem sin heard	Dat ha ik in buorfrou tsjin ús mem sizzen heard.
jome sinle nat tinken wat meie ik my dear der foar stelle	Jimme sille wol tinke, wat moat ik my dêrby foarstelle?
in kartaakfant wurdt wekker mar as kriuwacht foar arkbân	Op 'e dei-opfang wurdt wurke mei in skriuwmap foar elk bern.
nee it is neat feroarrenhi is prakkysk noch allegear prasyze gelyk	Nee, it is neat feroare, it is praktysk noch allegear persys gelyk.
wy hawwe it gerdol nicg yn ú glêzen	Dêr hawwe wy it gedonder yn 'e glêzen.
gar brânwachter op minsken op om rigeling doarren ticht te hâlden	De brânwacht ropt minsken op om ruten en doarren ticht te hâlden.
kinne jo myn bet in bit se byknikke k	Kinne jo myn burd in bytsje byknippe?
hy hat in stim as it klokkespul fan dokkum	Hy hat in stim as it klokkespul fan Dokkum.
seleksje om herech ik froultse	Seleksje omleech útwreidzje.
it is in hol aande rinnen fan it slakken alet harf	It is in heel ein rinnen fan de tsjerke nei it hôf.
ik hoech gjin segels mar ik wol al graach ek asaban	Ik hoech gjin segels mar ik wol al graach de kassabon.
rûkte berskriuwing nei hûs ta	Rûtebeskriuwing nei hûs ta.
