prediction	reference
it lisme weke wert opf oanhie	Ik leaude dat ik it yn my hie.
hy waard hûndert twa dagen noarit ian ader úntljochte foas werk as in djorruword	Hy waard hûndert, twa dagen neidat in nije útjefte fan syn wurk presintearre wie.
pak om jer wudtde situraasj ofp nij besjoen	Takom jier wurdt de sitewaasje opnij besjoen.
de kongressen werde om it hier holden	De kongressen wurde om it jier holden.
sanitridtich húshâlden sieten sonderwakker troch in lot ynd warterurden	Sa'n tritich húshâldens sieten sonder wetter troch in lek yn de wetterlieding.
syn hâlden dragen ton de sprat meaie	Syn hâlden en dragen kin gjin sprekken lije.
	Der hawwe al earder útjeften west fan it folsleine wurk fan Japicx.
wenwurne moasken lytske sabegleade op harrendwei	Wy wolle minsken in lyts skoftsje begeliede op harren wei.
foar moartderkirven sfeanehder jo hast seiz entachknuakeaven oar	Foar hûndert aktiven steane dit hier hast seisentachtich net-aktiven oer.
saman ber ghad me ri	Sa'n man, dêr hat men wat oan.
witte jo rakke	Witte jo dat net?
doet e darop lat mar plat	Dy't net hearre wol, moat mar fiele.
jo wurde de moans opnommen en deselde moarnsko ope lôfen  e e e	Jo wurde de moarns opnommen en deselde moarns operearre.
wy we seage berekken ienen its mear muoai mi	Wy beseagen dêr ek in heel lyts mar moai museum
fan ege it grutto oanniljen wurde fammenjûnútlutsen ferhaart slette	Fanwegen it grutte tal oanmeldingen wurde fjouwer jûnen útlutsen foar de harksitting.
bellju is in hier fan de liwen	Dêr leau ik gjin hier fan op myn holle.
ik haw de wear by wy letsen west hoedan	Ik ha der nea by belutsen west, hoe dan ek.
hi passe hier fan syn wurk has gjin maniere mear	It personiel fan tsjintwurdich hat gjin manieren mear.
wat foar dy is ik hjori meklik tiisdei iwoansde	Watfoar dei is it hjoed eigenliks, tiisdei of woansdei?
sy skuorret der tivige smarte huer by de gesicht kk	Se skoddet it tizige swarte hier út it gesicht.
it liste harte rotte mei kas de brân i gefallicheid fan draanstichten	De plysje hâldt der rekken mei dat de brân it gefolch wie fan brânstichting.
hy sette in belammerebedrach om jild fast foar it ûnderhâld fan it gebak	Hy sette in belangryk bedrach oan jild fêst foar it ûnderhâld fan it gebou.
