prediction	reference
nei dat sykje bine únhelden binn ik wer efter kanmin hoertk der meyt	Nei wat sykjen en omfreegjen bin ik derefter kommen hoe't dit moat.
h wol ferfoarimen dat der gjin after him lommet	Hy wit fan foaren net dat er fan efteren libbet.
hjy helle it hier en rutten oear libbens harem ma bosthim tebink	Hjir ha je in hiele rykdom oan libbensfoarmen, oan bisten en planten.
as jo myn nyk hopper hie doe ho it nyt slacht	As jo my net holpen hienen, wie ik net slagge.
njokken tasaprint as ap in tsjinstofker berugging slakpe	Njonken dizze trend is ek in tsjinstelde beweging sichtber.
dal skeam ik syn denger der werûm dat my opfart	Dêr skriuw ik sa no en dan wat yn, wat my opfalt.
it kollampe sa abluntt yn op sneintemûdel drukt earre foar njumsecash	It teäter sil op jûntiid en op sneintemiddei brûkt wurde foar musicals.
dizze kursus is fredtemaarnt in duorret gelorje	Dizze kursus is freedtemoarns en duorret in heal jier.
hy wol sokke in aktive râm foar rytbinisk kine boute dragen oander nomeis hole winzen	Wy sjogge in aktive rol foar wykbewenners om by te dragen oan inoars wolwêzen.
gjinkund leap rit noc in meut wike	Elk ûntwerp wurdt op maat makke.
ik mist al ik moat dech hurrer boe oer wat like	Ik mis dy, ik moat de hiele dei oan dy tinke.
se hatde tsien wl yn it sûde haus wekken	Se hat tsien jier yn it sikehús wurke.
in dat lebaroanskadoanen tjoch fer acht mindeten foar dam myn yn idebad	De Nederlânske doelman krige acht minuten foar de ein in reade kaart.
synt libbenning ha hale men de noas mei de bran an	Syn libben lang hat hy mei de noas nei de grûn rûn.
muzyk foarkant	Muzyk foarkant.
in bouler notellis in plak dat wiewereby drongermoarn in aikensachteree kinnen	In bijehotel is in plak dêr't wylde bijen blommemoal en aaikes efterlitte kinne.
as hja fuort wie paste ik op it hús en op e hú	As hja fuort wie, paste ik op it hûs en op 'e hûn.
muzyk iten in bank koppe das hearop fan eksoatyske raasbestiljen	Muzyk, iten en drank roppe de sfear op fan eksoatyske reisbestimmingen.
it is hierk wekker	It is hiel lekker.
frijwinnigas fan de fûgerwacht en de bierigendrânse hawwe op lachtlestignastike waggen	Frijwilligers fan de Fûgelwacht en de diere-ambulânse hawwe op jacht west nei stikelbargen.
mompels wilde de skutsers gemynoer om yn frysken oan frek tege fiene	Eartiids wienen de skûtsjes de manier om yn Fryslân fracht te ferfieren.
hja kaame hom de foto op te hanjen dat jolles	Hja kaam om de foto op te heljen, dat wie alles.
no der foarst net	Nee, perfoarst net.
it is wocr solik wilden fan wat slampen gjunder hav	It is in heel ein rinnen fan de tsjerke nei it hôf.
auwede jo boeken alle graaie	Audioboeken ôfdraaie.
ty bein moatte arbeiger sans foar de bûtengsoalder	Dy bern moatte alle dagen sels foar it iten soargje.
sa wol dergriubet la hoa fanien	Sy wol gjin kwea wurd hearre oer har famylje.
it ûndersyk docht bikim dat ik tekoard moai net faadergefoelich bin	Ut ûndersyk docht bliken dat tegoedbonnen fraudegefoelich binne.
ik bin fielikst song fan oarde ljacht	Lit my fideo's sjen fan it noarderljocht.
it rjân krapt ûyn natearlike bestanning	It lân krijt in natuerlike bestimming.
it is der bedoarim dat je se beide yn unkear noarder riede	It is de bedoeling dat je se beide yn ien kear goed riede.
de astratel hat in ûnelang oan in krappel saffiel limen	De astrology hat yn Yndia al in tradysje fan iuwen.
do moekst wol wat atyn teelze	Do mochtst wol wat attinter wêze.
der hie der minstken tweintich wylsken oa de ynfornaasje im	Der wiene mar sa'n tweintich minsken op de ynformaasjejûn.
an dy eideoezer en buorren bin ne hineei dyikleast yn de kakkepuot set	Al dy âlde izeren buorden binne himmele en kreas yn de kachelpoets set.
kin i nonomeskesedji ein no noch werke op in giellinneferde ealme	De Middellânske See lei no noch mar op in dei rinnen fan ús ôf.
tas sêter gjit deroans neit oer ors dal barnet se nyn ei mate	De saterdeitemoarns nei Keningsdei bellet syn mem him wekker.
it neintsum fin in dudliker algeen foar arken liven wit fellihde te rêzen	It meitsjen fan in dúdlike regeling foar alle gemeenten blykt dreech te wêze.
auwerulykei wie men wt twaalútse bûten da waard minsken stitsen moarren	Ofrûne wykein wiene der twa ynsidinten wêrby't minsken stutsen waarden.
wat ú betshielst isk ik or êrdich	De iene tsjinst is de oare wurdich.
t sam hit wen yn hiankarts koft ljortmakke sadart er er gyn feelt	It sop wurdt yn in heel koart skoft hjit makke sadat it kymfrij is.
myn deisdige werop is keast leinske	Myn deistich berop is kastleinske.
kin de ljoukaartsjes foarris werspretlik foar de foarstelling fanfild	Kinne jo kaartsjes foar ús besprekke foar de foarstelling fan freed?
