prediction	reference
boppes stiene fjouwer opmakke bêden mar op trije waard noait sleapt	Boppe stienen fjouwer opmakke bêden, mar op trije waard noait sliept.
yn de seiterepolder komt ek de noardske wropmûs foar in bedrighe en seldsume mûsesoarte	Yn de Saiterpolder komt ek de Noardske wrotmûs foar, in bedrige en seldsume mûzesoarte.
dat boek is bedoeld foar begjinners	Dat boek is bedoeld foar begjinners.
lotgenoaten hawwe mar in heal wurd nedich om dy te begripen	Lotgenoaten hawwe mar in heal wurd nedich om dy te begripen.
sykje op it ynternet	Sykje op ynternet.
it is hjir gebrûklik dat de kestetroch famylje freonen droegen wurdt	It is hjir gebrûklik dat de kiste troch famylje of freonen droegen wurdt.
it is drok op e baan de reed derje de stwirje troghin waar	It is drok op 'e baan, de reedriders twirje trochinoar.
hys skotholle by it hearren fan al dy ûnsen	Hy skodholle by it hearren fan al dy ûnsin.
de gemeenteriid praat kommende tongersj oer de plannen	De gemeenteried praat kommende tongersdei oer de plannen.
hja hie der al lang wer wêze moatten	Hja hie der al lang wer wêze moatten.
de gearkomste smyt gjin fjurwurk op mar duorre wol goedterije oeren	De gearkomste smiet gjin fjoerwurk op, mar duorre wol goed trije oeren.
der is in ûndersyk dien nei de winsken fan toeristen dyt nei de ôfslút dyk komme	Der is ûndersyk dien nei de winsken fan toeristen dy't nei de Ofslútdyk komme.
ynien knetteret der in berjocht út de loedsprekke fan de mobilefoan	Ynienen knetteret der in berjocht út de lûdsprekker fan de mobilofoan.
it tsjut der in bytsje stil út	It sjocht der in bytsje stil út.
op it stuit wachtet er op grien ljocht foar in folgjend projekt	Op it stuit wachtet er op grien ljocht foar in folgjend projekt.
dat binne myn suskes	Dat binne myn suskes.
ik wit net hoe yngewikkeld it is	Ik wit net hoe yngewikkeld it is.
op it strân sieten ploechje jonge manlj en froulju	Op it strân siet in ploechje jonge manlju en froulju.
men soe hjir in krupsje fan skypje	Men soe hjir in krupsje fan skypje.
gean nei skiednis	Gean nei skiednis.
hy flokte faak en as in lille pwie dan wie it hûs te lyts	Hy flokte faak en as er lilk wie, dan wie it hús te lyts.
nimmen hat in biologyske klok mei in deilingte fan persiis fjouweren tweientich oeren	Nimmen hat in biologyske klok mei in deilingte fan persiis fjouwerentweintich oeren.
de bestjoerder kwaam mei de skrikfrij	De bestjoerder kaam mei de skrik frij.
