prediction	reference
wat is de temperatuer op it stuit yn e hûs	Wat is de temperatuer op it stuit yn 'e hús?
allinne út betroubere wittenskiplike feiten kin men konklúzjes lûke	Allinne út betroubere wittenskiplike feiten kin men konklúzjes lûke.
it filmsenario skriuwte de filmspilers fan minút ta minút foar wat se dwaan moatte	It filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte.
de ofslútdyk hat tiisdeitemiddei ôfsletten west fanwegen in ûngelok mei in frachtwein	De Ofslútdyk hat tiisdeitemiddei ôfsletten west fanwegen in ûngelok mei in frachtwein.
wy hawwe hjoed in nije ljeadder kocht	Wy hawwe hjoed in nije ljedder kocht.
it is al in kear bard dat der mar ien besikker wie	It is al in kear bard dat der mar ien besiker wie.
de tydlike skoalle waard freed ynrjochte mei help fan san tritich âlden	De tydlike skoalle waard freed ynrjochte mei help fan sa'n tritich âlden.
de jongerein giet op hieltyd âldere leeftiid út e hûs	De jongerein giet op hieltyd âldere leeftiid út 'e hûs.
it frysk moat fansels wol waarborge wurde	It Frysk moat fansels wol waarboarge wurde.
ik wit noch nea net wat ik oan him ha	Ik wit noch nea net wat ik oan him haw.
op de tsjûkemar binne freedtejûn trijen minsken oppakt foar fiskstruiperij	Op de Tsjûkemar binne freedtejûn trije minsken oppakt foar fiskstreuperij.
hja kaam út amsterdam en foar him wie se in frou fan de wrâld	Hja kaam út Amsterdam en foar him wie se in frou fan de wrâld.
hawwe jo in bôle plankje foar ús	Hawwe jo in bôleplankje foar ús?
ik krige goed te iten en in waar mei tekken	Ik krige goed te iten en in waarme tekken.
justerjûn hawwe de bern in jûnsskuier makke yn it tsjuster	Justerjûn hawwe de bern in jûnskuier makke yn it tsjuster.
op it strân siet in ploechje jonge manlju en froulju	Op it strân siet in ploechje jonge manlju en froulju.
dimje de ljochten	Dimje de ljochten.
klik op ôfbylding	Klik op ôfbylding.
stjoer email troch	Stjoer e-mail troch.
de parkearplakken op it winkelpark stiene grôr fol autos	De parkearplakken op it winkelpark steane grôtfol auto's.
it ûnderwiis hat ferlet fan de oanline wurdlist mei staveringshifker en it oanline wurdboek	It ûnderwiis hat ferlet fan de online wurdlist mei staveringshifker en it online wurdboek.
gjin inkelde foarm fan famkes besnijen is wurdt yn nederlân tastien l	Gjin inkelde foarm fan famkesbesnijenis wurdt yn Nederlân tastien.
wy hjitte dy graach wolkom op ús wyklikse reppetysje jûn op woansdei	Wy hjitte dy graach wolkom op ús wyklikse repetysjejûn op woansdei.
hasto it dit wykein oan tiid of leaver in oare kear	Hasto it dit wykein oan tiid of leaver in oare kear?
de jonge iet oant syn fjirde allinnich bôle mei sûker	De jonge iet oant syn fjirde allinnich bôle mei sûker.
hy is yn easterein hikke en tin	Hy is yn Easterein hikke en tein.
der binne no oare dingen oan de hân	Der binne no oare dingen oan de hân.
hy witt it noch as de dei fan juster	Hy wit it noch as de dei fan juster.
hoe kom ik fan hjir nei emailjans	Hoe kom ik fan hjir nei Emiel Jans?
de bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen	De bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen.
men kin dizze plant sûnder swierrichheden yn e tún kweke	Men kin dizze plant sonder swierrichheden yn 'e tún kweke.
