prediction	reference
dat frege om swierrichheden mienen hear	Dat frege om swierrichheden mienden hja.
oansalaryskdiskriminaasje fan froulju moat in ein makke wurde	Oan salarisdiskriminaasje fan froulju moat in ein makke wurde.
kinst dy auto net oarspakkearre	Kinst dy auto net oars parkearje?
hja hie dêr al lang wêze moatten hh	Hja hie der al lang wer wêze moatten.
it medisyn is djoer en moat frijlang ynnommen wurde wol it effektyf wêze	It medisyn is djoer en moat frij lang ynnommen wurde, wol it effektyf wêze.
lit net oan moarn wachtsje watst hjoed noch dwaan kinst	Lit net oant moarn wachtsje watst hjoed noch dwaan kinst.
it aktiviteiteoanbod is gjin stolt op basus oan winsken fan de kleanpen	It aktiviteite-oanbod is gearstald op basis fan winsken fan de kliïnten.
sa ticht ha ik dêr noch nea by stien	Sa ticht ha ik der noch nea by stien.
dat is wol sa moai dat sjogge je nea moier	Dat is wol sa moai, dat sjogge je nea moaier!
un loas fan it bedriuw gie âlddiesjûen yn flammen op	In loads fan it bedriuw gie âldjiersjûn yn flammen op.
it sjocht der in bytsje stil út	It sjocht der in bytsje stil út.
ik wit net hoe yngewikkeld it is	Ik wit net hoe yngewikkeld it is.
it skip is wer yn de feart	It skip is wer yn 'e feart.
de natuer in hantsje helpe is hieltyd gewoane wurden	De natuer in hantsje helpe is hieltyd gewoaner wurden.
kinst hjir noch echt tsjuster belibje in nachts kest in heel soad sterren tsjen	Kinst hjir noch echt tsjuster belibje en nachts kinst in heel soad stjerren sjen.
de grûn wurdt de kommende wiken oanpast om de bysûndere natuer te behâlden t	De grûn wurdt de kommende wiken oanpast om de bysûndere natoer te behâlden.
wy moatte noch eefkes geduld dwaan oant wy kinne der earst oare moanne trjochte	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.
neffens my binne jo ien fan de meast tagonklike skriuwers fan fryslân nn	Neffens my binne jo ien fan de meast tagonklike skriuwers fan Fryslân.
twa frijers freegje om de hân fan de leaflike abbigeal re	Twa frijers freegje om de hân fan de leaflike Abigail.
nije wiken mei in soad rein wie it dy sneontemoarns aldergelokst drûch	Nei in wike mei in soad rein wie it dy sneontemoarns aldergelokst drûch.
de brânwacht kaam mei meardere weinen nei de brân ta mar it foel ta	De brânwacht kaam mei meardere weinen nei de brân ta, mar it foel ta.
de polysje hat acht jonges oppakt foar it stellen fan welminuten	De polysje hat acht jonges oppakt foar it stellen fan belminuten.
dy plannen rûnen speak troch politike en technyske swierrichheden	Dy plannen rûnen speak troch politike en technyske swierrichheden.
ofrûne saterdeitemiddei hat in grut part fan di doarp en skoftlang sûnder stroom sutten	Ofrûne saterdeitemiddei hat in grut part fan it doarp in skoftlang sûnder stroom sitten.
it is al wer hast twa wiken lyn dat ik myn lêste berjochtsjes stjoerd haw	It is alwer hast twa wike lyn dat ik myn lêste berjochtsje stjoerd haw.
sey fervert de libben read en se sjocht der moai út as oars	Sy fervet de lippen read en se sjocht der moaier út as oars.
ik ha gjin fakânsje plannen	Ik ha gjin fakânsjeplannen.
dêr kinne in soad in puntsje oan sûgje	Dêr kinne in soad in puntsje oan sûge.
ik hâld fan bisten en de natuer	Ik hâld fan bisten en de natuer.
ofrûne saterdeitemoarn waard op flyllân in oerelang trochinoar wynkrêft njoggen mjetten	Ofrûne saterdeitemoarn waard op Flylân in oere lang trochinoar wynkrêft njoggen metten.
hy brocht syn dochter nei de sneinskoalle	Hy brocht syn dochter nei de sneinsskoalle.
it filmsenario skriuwts de filmspilers fan minút ta minút foar wat se dwaan moatte	It filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte.
sokke sneijblommen steane net lang	Sokke snijblommen steane net lang.
it is hjir gebrûklik dat de kiste troch famylje of freonen droeven wurdt	It is hjir gebrûklik dat de kiste troch famylje of freonen droegen wurdt.
sjaak set har ta dat er in strik foar dwaan sil	Sjaak seit har ta dat er in strik foar dwaan sil.
hoefaak deis draaie jo de kraan net iepen	Hoe faak deis draaie jo de kraan net iepen?
it wie op in moaie warme dei yn e maitiid	It wie op in moaie waarme dei yn de maitiid.
wêrom is dyn kompjûter rin ienen sa traach	Wêrom is dyn kompjûter ynienen sa traach?
ik ha dêr sels gjin ein an fan hoet hjaa derútsjocht	Ik ha der sels gjin aan fan hoe't hja derút sjocht.
